Entity,Code,Year,govt_expn_primary_index
Andorra,AND,2002,0.341630012
Andorra,AND,2004,0.301539987
Andorra,AND,2005,0.269959986
Andorra,AND,2006,0.414039999
Andorra,AND,2007,0.402220011
Andorra,AND,2009,0.405530006
Andorra,AND,2010,0.447890013
Andorra,AND,2011,0.456820011
Andorra,AND,2013,0.448260009
Andorra,AND,2014,0.423260003
Angola,AGO,2006,0.308809996
Antigua and Barbuda,ATG,1999,0.123889998
Antigua and Barbuda,ATG,2002,0.072559997
Antigua and Barbuda,ATG,2009,0.00669
Argentina,ARG,1998,0.293769985
Argentina,ARG,1999,0.292270005
Argentina,ARG,2000,0.355369985
Argentina,ARG,2001,0.402350008
Argentina,ARG,2002,0.314619988
Argentina,ARG,2003,0.301829994
Argentina,ARG,2004,0.262010008
Argentina,ARG,2005,0.273589998
Argentina,ARG,2006,0.262510002
Argentina,ARG,2007,0.293370008
Argentina,ARG,2008,0.348450005
Argentina,ARG,2009,0.370350003
Argentina,ARG,2010,0.342579991
Argentina,ARG,2011,0.405220002
Argentina,ARG,2012,0.398849994
Argentina,ARG,2013,0.438520014
Armenia,ARM,2008,0.267049998
Armenia,ARM,2009,0.434210002
Armenia,ARM,2011,0.283060014
Armenia,ARM,2012,0.280919999
Armenia,ARM,2013,0.290300012
Aruba,ABW,1998,0.198379993
Aruba,ABW,1999,0.235520005
Aruba,ABW,2000,0.333700001
Aruba,ABW,2001,0.268209994
Aruba,ABW,2002,0.270000011
Aruba,ABW,2004,0.284209996
Aruba,ABW,2005,0.31784001
Australia,AUS,2000,0.060540002
Australia,AUS,2005,0.050870001
Australia,AUS,2006,0.048319999
Australia,AUS,2007,0.04321
Australia,AUS,2008,0.043249998
Australia,AUS,2009,0.057250001
Australia,AUS,2010,0.064970002
Australia,AUS,2011,0.111230001
Australia,AUS,2012,0.122620001
Australia,AUS,2013,0.14418
Austria,AUT,1998,0.482829988
Austria,AUT,1999,0.44867
Austria,AUT,2000,0.426990002
Austria,AUT,2001,0.41850999
Austria,AUT,2002,0.429390013
Austria,AUT,2003,0.405719995
Austria,AUT,2004,0.388740003
Austria,AUT,2005,0.390969992
Austria,AUT,2006,0.385960013
Austria,AUT,2007,0.392450005
Austria,AUT,2008,0.442209989
Austria,AUT,2009,0.529359996
Austria,AUT,2010,0.59127003
Austria,AUT,2011,0.574750006
Austria,AUT,2012,0.420459986
Austria,AUT,2013,0.46724999
Azerbaijan,AZE,1998,0.314220011
Azerbaijan,AZE,1999,0.362430006
Azerbaijan,AZE,2000,0.296750009
Azerbaijan,AZE,2001,0.285769999
Azerbaijan,AZE,2002,0.255400002
Azerbaijan,AZE,2003,0.2588
Azerbaijan,AZE,2004,0.250629991
Azerbaijan,AZE,2005,0.204040006
Azerbaijan,AZE,2006,0.170640007
Azerbaijan,AZE,2007,0.162829995
Azerbaijan,AZE,2008,0.168099999
Azerbaijan,AZE,2009,0.218020007
Azerbaijan,AZE,2010,0.196070001
Azerbaijan,AZE,2011,0.169430003
Barbados,BRB,1999,0.227009997
Barbados,BRB,2000,0.285270005
Barbados,BRB,2001,0.391420007
Barbados,BRB,2002,0.391400009
Barbados,BRB,2003,0.418489993
Barbados,BRB,2004,0.351229995
Barbados,BRB,2005,0.347429991
Barbados,BRB,2008,0.01922
Belarus,BLR,2004,1.035330057
Belarus,BLR,2005,1.019860029
Belarus,BLR,2006,1.005710006
Belarus,BLR,2007,0.974969983
Belarus,BLR,2009,0.943260014
Belarus,BLR,2010,1.027459979
Belarus,BLR,2011,1.019440055
Belgium,BEL,2001,0.53403002
Belgium,BEL,2002,0.549570024
Belgium,BEL,2003,0.565119982
Belgium,BEL,2004,0.559170008
Belgium,BEL,2005,0.552089989
Belgium,BEL,2006,0.556389987
Belgium,BEL,2007,0.555970013
Belgium,BEL,2008,0.578180015
Belgium,BEL,2009,0.585590005
Belgium,BEL,2010,0.607219994
Belgium,BEL,2011,0.609709978
