Year,Code,award,egg_index,entrance_age_index,life_exp_primary_edu_index,meat_index,milk_index,calory_index,primary_edu_duration_index,protein_index
1984,BGR,Gold medal,13.22,3,2.904000044,65.19,197.38,3608,4,107.1
1984,BGR,Gold medal,13.22,3,2.904000044,65.19,197.38,3608,4,107.1
1984,BGR,Silver medal,13.22,3,2.904000044,65.19,197.38,3608,4,107.1
1984,BGR,Silver medal,13.22,3,2.904000044,65.19,197.38,3608,4,107.1
1984,BGR,Silver medal,13.22,3,2.904000044,65.19,197.38,3608,4,107.1
1984,BGR,Bronze medal,13.22,3,2.904000044,65.19,197.38,3608,4,107.1
1985,BGR,Gold medal,14.31,3,2.856600046,67.71,201.95,3596,4,106.94
1985,BGR,Gold medal,14.31,3,2.856600046,67.71,201.95,3596,4,106.94
1985,BGR,Silver medal,14.31,3,2.856600046,67.71,201.95,3596,4,106.94
1985,BGR,Silver medal,14.31,3,2.856600046,67.71,201.95,3596,4,106.94
1985,BGR,Silver medal,14.31,3,2.856600046,67.71,201.95,3596,4,106.94
1985,BGR,NA,14.31,3,2.856600046,67.71,201.95,3596,4,106.94
1986,BGR,Gold medal,14.31,3,2.753740072,70.1,206.06,3657,4,108.31
1986,BGR,Silver medal,14.31,3,2.753740072,70.1,206.06,3657,4,108.31
1986,BGR,Silver medal,14.31,3,2.753740072,70.1,206.06,3657,4,108.31
1986,BGR,Silver medal,14.31,3,2.753740072,70.1,206.06,3657,4,108.31
1986,BGR,Bronze medal,14.31,3,2.753740072,70.1,206.06,3657,4,108.31
1986,BGR,Bronze medal,14.31,3,2.753740072,70.1,206.06,3657,4,108.31
1987,BGR,Gold medal,15.15,3,2.750740051,70.6,207.08,3678,4,110.23
1987,BGR,Silver medal,15.15,3,2.750740051,70.6,207.08,3678,4,110.23
1987,BGR,Silver medal,15.15,3,2.750740051,70.6,207.08,3678,4,110.23
1987,BGR,Silver medal,15.15,3,2.750740051,70.6,207.08,3678,4,110.23
1987,BGR,Bronze medal,15.15,3,2.750740051,70.6,207.08,3678,4,110.23
1987,BGR,Bronze medal,15.15,3,2.750740051,70.6,207.08,3678,4,110.23
1988,BGR,Silver medal,14.9,3,2.818979979,74.51,202.77,3700,4,111.2
1988,BGR,Silver medal,14.9,3,2.818979979,74.51,202.77,3700,4,111.2
1988,BGR,Silver medal,14.9,3,2.818979979,74.51,202.77,3700,4,111.2
1988,BGR,Silver medal,14.9,3,2.818979979,74.51,202.77,3700,4,111.2
1988,BGR,Bronze medal,14.9,3,2.818979979,74.51,202.77,3700,4,111.2
1988,BGR,Bronze medal,14.9,3,2.818979979,74.51,202.77,3700,4,111.2
1989,BGR,Gold medal,14.16,3,2.895730019,78.86,200.26,3623,4,110.45
1989,BGR,Silver medal,14.16,3,2.895730019,78.86,200.26,3623,4,110.45
1989,BGR,Silver medal,14.16,3,2.895730019,78.86,200.26,3623,4,110.45
1989,BGR,Silver medal,14.16,3,2.895730019,78.86,200.26,3623,4,110.45
1989,BGR,Bronze medal,14.16,3,2.895730019,78.86,200.26,3623,4,110.45
1989,BGR,Bronze medal,14.16,3,2.895730019,78.86,200.26,3623,4,110.45
1990,BGR,Gold medal,13.57,3,2.770129919,62.3,147.44,3129,4,95.7
1990,BGR,Silver medal,13.57,3,2.770129919,62.3,147.44,3129,4,95.7
1990,BGR,Silver medal,13.57,3,2.770129919,62.3,147.44,3129,4,95.7
1990,BGR,Silver medal,13.57,3,2.770129919,62.3,147.44,3129,4,95.7
1990,BGR,Silver medal,13.57,3,2.770129919,62.3,147.44,3129,4,95.7
1990,BGR,Bronze medal,13.57,3,2.770129919,62.3,147.44,3129,4,95.7
