Entity,Code,Year,life_exp_primary_edu_index
Afghanistan,AFG,1970,0.00278
Afghanistan,AFG,1971,0.00272
Afghanistan,AFG,1972,0.0036
Afghanistan,AFG,1973,0.00341
Afghanistan,AFG,1974,0.00368
Afghanistan,AFG,1975,0.00453
Afghanistan,AFG,1976,0.00673
Afghanistan,AFG,1977,0.00849
Afghanistan,AFG,1980,0.01024
Afghanistan,AFG,1981,0.01146
Afghanistan,AFG,1982,0.01108
Afghanistan,AFG,1984,0.031230001
Afghanistan,AFG,1985,0.042550001
Afghanistan,AFG,1986,0.04549
Afghanistan,AFG,1988,0.04941
Afghanistan,AFG,2003,0.030379999
Albania,ALB,1971,0.754999995
Albania,ALB,1972,0.839929998
Albania,ALB,1980,1.311759949
Albania,ALB,1981,1.39842999
Albania,ALB,1982,1.455839992
Albania,ALB,1983,1.485200047
Albania,ALB,1984,1.536030054
Albania,ALB,1985,1.586699963
Albania,ALB,1986,1.610769987
Albania,ALB,1987,1.627150059
Albania,ALB,1988,1.655320048
Albania,ALB,1989,1.660290003
Albania,ALB,1990,1.689550042
Albania,ALB,1991,1.747769952
Albania,ALB,1992,1.44867003
Albania,ALB,1993,1.079079986
Albania,ALB,1994,1.080860019
Albania,ALB,1995,1.113389969
Albania,ALB,1996,1.202749968
Albania,ALB,1997,1.234859943
Albania,ALB,1998,1.221950054
Albania,ALB,1999,1.267390013
Albania,ALB,2000,1.322229981
Albania,ALB,2001,1.354329944
Albania,ALB,2002,1.352049947
Albania,ALB,2003,1.45141995
Albania,ALB,2004,1.502120018
Albania,ALB,2005,1.560420036
Albania,ALB,2006,1.648599982
Albania,ALB,2007,1.689880013
Albania,ALB,2008,1.827180028
Albania,ALB,2009,1.939659953
Albania,ALB,2010,2.08878994
Albania,ALB,2011,2.28463006
Albania,ALB,2012,2.520999908
Albania,ALB,2013,2.639559984
Albania,ALB,2014,2.655169964
Algeria,DZA,1993,0.0265
Algeria,DZA,1994,0.03452
Algeria,DZA,1995,0.035110001
Algeria,DZA,1996,0.040959999
Algeria,DZA,1997,0.04366
Algeria,DZA,1999,0.048810001
Algeria,DZA,2000,0.054420002
Algeria,DZA,2001,0.067829996
Algeria,DZA,2003,0.080169998
Algeria,DZA,2004,0.094920002
Algeria,DZA,2005,0.123989999
Algeria,DZA,2006,0.290580004
Algeria,DZA,2007,0.300830007
Algeria,DZA,2008,0.361719996
Algeria,DZA,2009,0.799539983
Algeria,DZA,2010,0.835730016
Algeria,DZA,2011,0.787339985
Andorra,AND,1975,3.704109907
Andorra,AND,1983,5.08810997
Angola,AGO,1981,1.302170038
Angola,AGO,1982,1.092260003
Angola,AGO,1983,0.896399975
Angola,AGO,1984,0.757309973
Angola,AGO,1985,0.602890015
Angola,AGO,1986,0.644200027
Angola,AGO,1987,0.604990005
Angola,AGO,1988,0.565670013
Angola,AGO,1989,0.545189977
Angola,AGO,1990,0.488029987
Angola,AGO,1991,0.402689993
Angola,AGO,1992,0.508480012
Angola,AGO,1998,0.61668998
Angola,AGO,1999,0.751020014
Angola,AGO,2007,1.425359964
Angola,AGO,2008,1.081910014
Angola,AGO,2009,1.01639998
Angola,AGO,2010,0.947589993
Angola,AGO,2011,0.802550018
Antigua and Barbuda,ATG,1975,0.322140008
Antigua and Barbuda,ATG,1976,0.542999983
Antigua and Barbuda,ATG,1977,0.463800013
Antigua and Barbuda,ATG,1978,0.615830004
Antigua and Barbuda,ATG,1979,0.554740012
Antigua and Barbuda,ATG,1984,0.600709975
Antigua and Barbuda,ATG,2000,1.133299947
Antigua and Barbuda,ATG,2007,1.505429983
Antigua and Barbuda,ATG,2008,1.547999978
Antigua and Barbuda,ATG,2010,1.686470032
Antigua and Barbuda,ATG,2011,1.653079987
Antigua and Barbuda,ATG,2012,1.774600029
Antigua and Barbuda,ATG,2014,1.504209995
Arab World,,1970,0.208790109
Arab World,,1971,0.206959382
Arab World,,1972,0.204736441
Arab World,,1973,0.203612819
Arab World,,1974,0.200943917
Arab World,,1975,0.209974408
Arab World,,1976,0.220588878
Arab World,,1977,0.229033977
Arab World,,1978,0.228190437
Arab World,,1979,0.235278964
Arab World,,1980,0.240321413
Arab World,,1981,0.252327204
Arab World,,1982,0.255050182
Arab World,,1983,0.259206802
Arab World,,1984,0.26512298
Arab World,,1985,0.274510026
Arab World,,1986,0.273927331
Arab World,,1987,0.275965303
Arab World,,1988,0.275980622
Arab World,,1989,0.280430436
Arab World,,1990,0.279346079
Arab World,,1991,0.281833142
Arab World,,1992,0.279931992
Arab World,,1993,0.283898264
Arab World,,1994,0.289088219
Arab World,,1995,0.29820475
Arab World,,1996,0.305603683
Arab World,,1997,0.317636669
Arab World,,1998,0.330149502
Arab World,,1999,0.326848745
Arab World,,2000,0.33438006
Arab World,,2001,0.335376531
Arab World,,2002,0.341685861
Arab World,,2003,0.352782696
Arab World,,2004,0.363763094
Arab World,,2005,0.381719649
Arab World,,2006,0.412201464
Arab World,,2007,0.411281645
Arab World,,2008,0.447508067
Arab World,,2009,0.515445054
Arab World,,2010,0.525511742
Arab World,,2011,0.526991129
Arab World,,2012,0.537035644
Arab World,,2013,0.524096012
Arab World,,2014,0.56892252
Argentina,ARG,1970,0.470310003
Argentina,ARG,1971,0.500699997
Argentina,ARG,1972,0.532689989
Argentina,ARG,1973,0.583829999
Argentina,ARG,1974,0.630620003
Argentina,ARG,1975,0.716650009
Argentina,ARG,1976,0.76019001
Argentina,ARG,1977,0.789349973
Argentina,ARG,1979,0.783259988
Argentina,ARG,1980,0.799019992
Argentina,ARG,1981,0.842909992
Argentina,ARG,1982,0.876489997
Argentina,ARG,1983,0.894029975
Argentina,ARG,1984,0.951139987
Argentina,ARG,1985,1.006559968
Argentina,ARG,1986,1.054780006
Argentina,ARG,1987,1.14605999
Argentina,ARG,1988,1.222959995
Argentina,ARG,1991,1.478929996
Argentina,ARG,1994,1.451589942
Argentina,ARG,1996,1.591500044
Argentina,ARG,1997,1.627820015
Argentina,ARG,1998,1.672639966
Argentina,ARG,1999,1.691130042
Argentina,ARG,2000,1.785330057
Argentina,ARG,2001,1.807369947
Argentina,ARG,2002,1.823680043
Argentina,ARG,2003,1.830819964
Argentina,ARG,2004,1.881510019
Argentina,ARG,2005,1.917539954
Argentina,ARG,2006,1.908519983
Argentina,ARG,2007,1.928859949
Argentina,ARG,2008,1.979060054
Argentina,ARG,2009,2.011140108
Argentina,ARG,2010,2.035099983
Argentina,ARG,2011,2.036030054
Argentina,ARG,2012,2.092299938
Argentina,ARG,2013,2.149280071
Armenia,ARM,1980,2.173769951
Armenia,ARM,1986,2.303149939
Armenia,ARM,1987,2.321729898
Armenia,ARM,1988,2.237910032
Armenia,ARM,1989,2.121170044
Armenia,ARM,1990,1.889379978
Armenia,ARM,1991,1.861529946
Armenia,ARM,1992,1.881620049
Armenia,ARM,1993,1.634379983
Armenia,ARM,1994,1.43829
Armenia,ARM,1995,1.273669958
Armenia,ARM,1996,1.075500011
Armenia,ARM,1997,1.16802001
Armenia,ARM,1998,1.159270048
Armenia,ARM,1999,1.054659963
Armenia,ARM,2000,1.058830023
Armenia,ARM,2001,0.99970001
Armenia,ARM,2002,1.028270006
Armenia,ARM,2003,1.118489981
Armenia,ARM,2004,1.221959949
Armenia,ARM,2005,1.234339952
Armenia,ARM,2006,1.327399969
Armenia,ARM,2007,1.294420004
Armenia,ARM,2008,1.324769974
Armenia,ARM,2009,1.365749955
Armenia,ARM,2011,1.431589961
Armenia,ARM,2012,1.564020038
Aruba,ABW,1999,1.887310028
Aruba,ABW,2000,1.91850996
Aruba,ABW,2001,1.950129986
Aruba,ABW,2002,1.965759993
Aruba,ABW,2003,1.985460043
Aruba,ABW,2004,1.965489984
Aruba,ABW,2005,2.00921011
Aruba,ABW,2006,2.180579901
Aruba,ABW,2007,2.145370007
Aruba,ABW,2008,2.031689882
Aruba,ABW,2009,2.016890049
Aruba,ABW,2010,2.089780092
Aruba,ABW,2011,2.048599958
Aruba,ABW,2012,2.142379999
Aruba,ABW,2013,2.123310089
Aruba,ABW,2014,2.145440102
Australia,AUS,1971,0.734250009
Australia,AUS,1974,0.732370019
Australia,AUS,1975,0.75128001
Australia,AUS,1976,0.809750021
Australia,AUS,1977,0.797739983
Australia,AUS,1978,0.756550014
Australia,AUS,1979,0.668349981
Australia,AUS,1980,0.64617002
Australia,AUS,1981,0.641260028
Australia,AUS,1982,0.654529989
Australia,AUS,1983,0.681469977
Australia,AUS,1984,0.692870021
Australia,AUS,1985,0.716929972
Australia,AUS,1986,0.732840002
Australia,AUS,1987,0.728609979
Australia,AUS,1988,0.711730003
Australia,AUS,1989,0.70757997
Australia,AUS,1990,0.704360008
Australia,AUS,1991,0.700800002
Australia,AUS,1992,0.702090025
Australia,AUS,1993,0.706860006
Australia,AUS,1994,0.722199976
Australia,AUS,1995,0.939339995
Australia,AUS,1996,0.764020026
Australia,AUS,1997,0.779770017
Australia,AUS,2001,1.030210018
Australia,AUS,2002,1.008039951
Australia,AUS,2003,0.822210014
Australia,AUS,2004,0.835160017
Australia,AUS,2005,0.861899972
Australia,AUS,2006,0.825240016
Australia,AUS,2007,0.815729976
Australia,AUS,2008,0.815410018
Australia,AUS,2009,0.812659979
Australia,AUS,2010,0.786979973
Australia,AUS,2011,0.95401001
Australia,AUS,2012,1.078600049
Australia,AUS,2013,1.092820048
Austria,AUT,1971,0.925849974
Austria,AUT,1972,0.98852998
Austria,AUT,1973,1.06427002
Austria,AUT,1974,1.157780051
Austria,AUT,1975,1.255779982
Austria,AUT,1976,1.357149959
Austria,AUT,1977,1.446750045
Austria,AUT,1978,1.606130004
Austria,AUT,1979,1.745830059
Austria,AUT,1980,1.830160022
Austria,AUT,1981,1.864410043
Austria,AUT,1982,1.888730049
Austria,AUT,1983,1.924630046
Austria,AUT,1984,1.973880053
Austria,AUT,1985,2.048480034
Austria,AUT,1986,2.163599968
Austria,AUT,1987,2.223469973
Austria,AUT,1988,2.189599991
Austria,AUT,1989,2.13402009
Austria,AUT,1990,2.148629904
Austria,AUT,1991,2.166199923
Austria,AUT,1992,2.19652009
Austria,AUT,1993,2.267990112
Austria,AUT,1994,2.361219883
Austria,AUT,1995,2.362339973
Austria,AUT,1996,2.38402009
Austria,AUT,1997,2.408659935
Austria,AUT,1998,2.400170088
Austria,AUT,1999,2.379090071
Austria,AUT,2000,2.380769968
Austria,AUT,2001,2.42317009
Austria,AUT,2002,2.473929882
Austria,AUT,2003,2.54508996
Austria,AUT,2004,2.600270033
Austria,AUT,2005,2.646450043
Austria,AUT,2006,2.678719997
Austria,AUT,2007,2.723190069
Austria,AUT,2008,2.809629917
Austria,AUT,2009,2.914779902
Austria,AUT,2010,3.014290094
Austria,AUT,2011,3.020659924
Austria,AUT,2012,3.110039949
Austria,AUT,2013,3.013420105
Austria,AUT,2014,3.047310114
Azerbaijan,AZE,1981,0.819760025
Azerbaijan,AZE,1986,0.850600004
Azerbaijan,AZE,1989,0.742079973
Azerbaijan,AZE,1990,0.817260027
Azerbaijan,AZE,1991,0.748359978
Azerbaijan,AZE,1992,0.70984
Azerbaijan,AZE,1993,0.663399994
