Entity,Code,Year,lower_secnd_edu_index
Afghanistan,AFG,1973,9.65433979
Afghanistan,AFG,1974,8.460680008
Afghanistan,AFG,1977,6.775060177
Afghanistan,AFG,1978,9.095959663
Afghanistan,AFG,1980,13.64288044
Afghanistan,AFG,1981,16.36631012
Afghanistan,AFG,1982,10.92883015
Afghanistan,AFG,1984,13.11956978
Afghanistan,AFG,1985,13.56245041
Afghanistan,AFG,1993,19.14715958
Afghanistan,AFG,2005,17.0492897
Albania,ALB,1996,90.34976959
Albania,ALB,2000,82.06565857
Albania,ALB,2001,88.20117188
Albania,ALB,2003,86.04930115
Albania,ALB,2007,90.08408356
Albania,ALB,2008,90.15796661
Albania,ALB,2009,89.02230835
Albania,ALB,2010,94.48979187
Albania,ALB,2011,94.86934662
Albania,ALB,2012,94.1652832
Albania,ALB,2013,93.15612793
Albania,ALB,2014,92.40931702
Algeria,DZA,1971,6.593840122
Algeria,DZA,1972,8.899950027
Algeria,DZA,1973,10.67090034
Algeria,DZA,1974,13.36635017
Algeria,DZA,1975,17.07452965
Algeria,DZA,1976,17.60289955
Algeria,DZA,1977,20.33325958
Algeria,DZA,1978,24.31373024
Algeria,DZA,1979,28.93891907
Algeria,DZA,1980,30.99068069
Algeria,DZA,1982,35.09009933
Algeria,DZA,1984,41.82664871
Algeria,DZA,1985,44.23820114
Algeria,DZA,1989,61.55970001
Algeria,DZA,1990,57.86388016
Algeria,DZA,1991,54.91561127
Algeria,DZA,1992,56.90782928
Algeria,DZA,1993,56.42311096
Algeria,DZA,1994,56.71836853
Algeria,DZA,1995,57.14133835
Algeria,DZA,1996,56.90544128
Algeria,DZA,1997,52.28770828
Algeria,DZA,1999,54.92697906
Algeria,DZA,2000,51.51906967
Algeria,DZA,2001,54.44506073
Algeria,DZA,2002,60.33718109
Algeria,DZA,2003,61.13259888
Algeria,DZA,2004,62.09389114
Algeria,DZA,2005,72.37748718
Algeria,DZA,2006,66.07578278
Algeria,DZA,2007,60.44163132
Algeria,DZA,2008,55.37277985
Algeria,DZA,2009,62.3847084
Algeria,DZA,2010,58.44121933
Algeria,DZA,2011,70.60713196
Algeria,DZA,2012,114.834877
Algeria,DZA,2013,85.38208008
Algeria,DZA,2014,79.42204285
Angola,AGO,1982,2.638950109
Angola,AGO,2008,19.18786049
Angola,AGO,2009,19.39374924
Angola,AGO,2011,22.51761055
Antigua and Barbuda,ATG,1992,136.2765961
Antigua and Barbuda,ATG,2008,82.13604736
Antigua and Barbuda,ATG,2009,77.40717316
Antigua and Barbuda,ATG,2010,90.07537842
Antigua and Barbuda,ATG,2012,100.0626984
Antigua and Barbuda,ATG,2014,85.27181244
Arab World,,1970,27.07258415
Arab World,,1971,27.0712738
Arab World,,1972,27.9824295
Arab World,,1973,28.6118412
Arab World,,1974,28.80450249
Arab World,,1975,29.99253845
Arab World,,1976,30.98082733
Arab World,,1977,32.65831757
Arab World,,1978,35.64096451
Arab World,,1979,36.54462433
Arab World,,1980,37.5406189
Arab World,,1981,38.3532486
Arab World,,1982,39.03534698
Arab World,,1983,40.12286377
Arab World,,1984,41.74321747
Arab World,,1985,42.96417618
Arab World,,1986,44.55649185
Arab World,,1987,45.46431351
Arab World,,1988,47.07551575
Arab World,,1989,48.42367935
Arab World,,1990,48.44259262
Arab World,,1991,49.22464752
Arab World,,1992,49.91195679
Arab World,,1993,50.33114243
Arab World,,1994,51.54430389
Arab World,,1995,52.45685577
Arab World,,1996,53.14505005
Arab World,,1997,53.25263214
Arab World,,1998,54.14056015
Arab World,,1999,55.08103943
Arab World,,2000,56.26034927
Arab World,,2001,58.27661896
Arab World,,2002,60.58377838
Arab World,,2003,60.68937302
Arab World,,2004,61.47026825
Arab World,,2005,62.97018051
Arab World,,2006,62.11697006
Arab World,,2007,62.02893448
