"","Variable","Importance"
"1","SP.POP.TOTL",27.3173176969947
"2","SE.SEC.ENRL",23.7886209552183
"3","SE.SEC.ENRL.GC",20.1086181873252
"4","SH.DTH.MORT",17.7053858868491
"5","SH.DTH.1519",16.7483772843179
"6","SH.DTH.1014",14.991947915341
"7","SE.PRM.ENRL",14.8397652321718
"8","SH.DTH.NMRT",13.9855534576156
"9","SH.DTH.IMRT",12.6207637386921
"10","SH.DTH.2024",12.0700596475842
"11","SP.POP.0509.MA.5Y",11.531036482626
"12","SH.DTH.0509",10.3508566940524
"13","SP.DYN.TFRT.IN",9.96998507220856
"14","SP.POP.0004.FE.5Y",9.01643759987373
"15","SE.PRM.TCHR",8.89443231099991
"16","SE.PRM.PRIV.ZS",8.42866550211894
"17","SL.TLF.TOTL.FE.ZS",8.35403545273072
"18","SP.POP.0014.TO.ZS",8.18254839678362
"19","SP.DYN.CBRT.IN",7.76236340453089
"20","SP.POP.DPND.YG",7.60674064829886
"21","SE.SEC.ENRL.VO",7.53993535215021
"22","SM.POP.REFG",7.36252812150485
"23","SP.POP.0014.FE.ZS",7.12828925916972
"24","SP.POP.7074.FE.5Y",6.95594013327621
"25","SP.POP.0004.MA.5Y",6.9263280920492
"26","SP.POP.1014.FE.5Y",6.79806186751071
"27","SH.MED.BEDS.ZS",6.61522805311981
"28","SP.POP.6569.MA.5Y",6.57140015300996
"29","SP.POP.1519.FE.5Y",6.21533727499384
"30","SP.POP.0014.MA.ZS",6.17423789009877
"31","SP.POP.65UP.MA.ZS",6.1333578601341
"32","milk_index",5.96925084636906
"33","SP.POP.7579.FE.5Y",5.72408599244211
"34","SP.POP.6064.MA.5Y",5.63976240649174
"35","SP.POP.DPND.OL",5.57739337791665
"36","SP.POP.1564.MA.ZS",5.40709327911045
"37","egg_index",5.2219105517367
"38","SP.ADO.TFRT",5.19217039072533
"39","SP.POP.5054.FE.5Y",5.11102988991321
"40","SH.H2O.BASW.RU.ZS",5.06431621707964
"41","SE.TER.ENRR.FE",5.03218654467552
"42","SP.POP.65UP.FE.ZS",5.02607591531174
"43","SE.PRM.REPT.MA.ZS",4.9647014230432
"44","SH.H2O.BASW.ZS",4.94547060563692
"45","SP.POP.7579.MA.5Y",4.83133963284663
"46","SH.XPD.PVTD.CH.ZS",4.61220674038533
"47","SP.POP.0509.FE.5Y",4.60171126153763
"48","SH.H2O.SMDW.ZS",4.5363443493272
"49","SE.PRM.UNER",4.4468751420785
"50","SP.POP.5559.MA.5Y",4.44136405655144
"51","SP.POP.1014.MA.5Y",4.39398491682074
"52","SH.STA.BASS.UR.ZS",4.33112784384601
"53","life_exp_primary_edu_index",4.13921552656114
"54","SP.POP.1564.TO.ZS",4.07274397921905
"55","SH.DYN.AIDS.FE.ZS",3.98727768803336
"56","SH.STA.BASS.RU.ZS",3.94407452942404
"57","SH.MED.PHYS.ZS",3.9253364312902
"58","SE.TER.ENRL.TC.ZS",3.92291473081065
"59","SH.ANM.ALLW.ZS",3.91574242550501
"60","meat_index",3.87018691202195
"61","SP.POP.GROW",3.82414061606265
"62","SE.SEC.ENRL.TC.ZS",3.74858579206507
"63","SH.XPD.GHED.CH.ZS",3.72254229436969
"64","SP.POP.4549.FE.5Y",3.6668536463828
"65","SH.MMR.RISK.ZS",3.65950120805574
"66","SP.POP.5054.MA.5Y",3.64203225997043
"67","SM.POP.REFG.OR",3.59043554254212
"68","SE.TER.ENRR",3.58063059809999
"69","SE.SEC.PROG.ZS",3.5442809222731
"70","SP.DYN.TO65.MA.ZS",3.4970701732273
"71","SH.ANM.CHLD.ZS",3.43814913236131
"72","SP.POP.6569.FE.5Y",3.42547722045719
"73","SP.POP.5559.FE.5Y",3.38971877674152
"74","SP.POP.TOTL.FE.ZS",3.34420233932584
"75","SP.POP.3034.FE.5Y",3.33846584752404
"76","SP.POP.TOTL.MA.ZS",3.31462143364744
"77","SL.UEM.TOTL.FE.ZS",3.27509904926169
"78","SE.ENR.SECO.FM.ZS",3.2377867250425
"79","SE.SEC.CMPT.LO.MA.ZS",3.17979865964009
"80","SH.MED.NUMW.P3",3.17527393068027
"81","SH.STA.ODFC.ZS",3.12542918328431
"82","SP.DYN.LE00.MA.IN",3.0243417442478
"83","SH.ANM.NPRG.ZS",3.02433473543657
"84","SP.POP.7074.MA.5Y",3.0212105505088
"85","SE.ENR.PRSC.FM.ZS",3.02066979662234
"86","SE.XPD.TOTL.GB.ZS",3.02062954491723
"87","SP.POP.65UP.TO.ZS",3.0180461999843
"88","SE.PRE.ENRR",3.01726471071187
"89","SP.POP.80UP.FE.5Y",3.00125870506519
"90","SE.SEC.CMPT.LO.ZS",3.00022280145629
"91","SP.POP.6064.FE.5Y",2.95259128631976
"92","SE.PRM.ENRR.FE",2.93602345619302
"93","SP.DYN.TO65.FE.ZS",2.93313782143106
"94","SL.UEM.TOTL.ZS",2.9288960878322
"95","SE.PRE.ENRL.TC.ZS",2.90985170409829
"96","SP.DYN.AMRT.MA",2.90662305153567
"97","SP.POP.1564.FE.ZS",2.89474484092978
"98","SE.SEC.ENRR.FE",2.87234916981022
"99","SP.DYN.CDRT.IN",2.8707154280934
"100","SH.TBS.CURE.ZS",2.85560831241381
"101","SH.XPD.OOPC.CH.ZS",2.84296477555301
"102","SE.TER.ENRR.MA",2.80092932324611
"103","SH.MMR.DTHS",2.77230097141511
"104","SE.PRM.GINT.MA.ZS",2.72787625506113
"105","SE.ENR.TERT.FM.ZS",2.70757923215254
"106","Pupil_teacher_ratio",2.70442445291054
"107","SE.PRM.GINT.FE.ZS",2.69829455407631
